feature,importance
consumption_mw_rolling_mean_3,0.7097968
consumption_mw_rolling_min_3,0.22495575
hour,0.024137791
consumption_mw_rolling_max_3,0.012014425
hour_cos,0.00671608
is_weekend,0.0037482132
consumption_mw_rolling_max_6,0.0034068613
cos_hour,0.0024207658
consumption_mw_rolling_min_6,0.002310647
consumption_mw_lag_1,0.001555504
consumption_mw_lag_3,0.0011436729
consumption_mw_rolling_max_12,0.0011139625
consumption_mw_lag_2,0.0010002761
consumption_mw_rolling_mean_6,0.00061651564
consumption_mw_rolling_std_12,0.00057087594
consumption_mw_rolling_std_3,0.0004902574
consumption_mw_rolling_mean_12,0.00048817717
day_sin,0.000445292
hour_x_dow,0.00039374296
consumption_mw_lag_6,0.00032502387
consumption_mw_lag_24,0.0003013132
day_of_week,0.00023382009
sin_day_of_week,0.00021740353
consumption_mw_rolling_min_12,0.0001484955
consumption_mw_lag_12,0.00014469444
consumption_mw_rolling_mean_24,0.00012428565
latitude,0.00010228051
consumption_mw_rolling_std_6,8.420298e-05
is_business_hour,7.229554e-05
longitude,7.223837e-05
temp_x_weekend,6.865446e-05
consumption_mw_rolling_mean_48,5.314975e-05
consumption_mw_rolling_min_24,4.9303053e-05
consumption_mw_rolling_max_24,4.875423e-05
comfort_index,4.6700203e-05
humidity,4.320189e-05
consumption_mw_lag_48,4.274372e-05
heat_index,4.267612e-05
consumption_mw_rolling_std_24,4.1340816e-05
temperature,4.0398885e-05
cos_day_of_year,3.968405e-05
temperature_feels_like,3.94342e-05
wind_chill,3.9243456e-05
temp_humidity_ratio,3.8514765e-05
dew_point,3.7348098e-05
consumption_mw_rolling_max_48,3.734275e-05
consumption_mw_rolling_std_48,3.5835892e-05
consumption_mw_rolling_min_48,3.554345e-05
temp_deviation_24h,3.4591118e-05
month_cos,3.3895038e-05
