iter	Passed	Remaining
0	135	67500
1	282	70453
2	453	75096
3	641	79551
4	852	84380
5	1084	89306
6	1339	94332
7	1613	99215
8	1904	103900
9	2156	105670
10	2403	106848
11	2663	108312
12	2902	108735
13	3132	108753
14	3339	107983
15	3560	107699
16	3788	107643
17	4032	107971
18	4254	107693
19	4478	107489
20	4688	106940
21	4922	106953
22	5168	107189
23	5421	107526
24	5656	107465
25	5901	107587
26	6114	107113
27	6322	106582
28	6538	106196
29	6784	106293
30	7007	106012
31	7222	105621
32	7445	105359
33	7676	105217
34	7931	105370
35	8169	105300
36	8382	104897
37	8599	104553
38	8820	104262
39	9043	103998
40	9260	103669
41	9481	103395
42	9705	103152
43	9928	102895
44	10139	102525
45	10517	103805
46	10780	103905
47	11033	103903
48	11270	103738
49	11509	103589
50	11748	103434
51	11994	103337
52	12224	103101
53	12445	102790
54	12655	102394
55	12872	102063
56	13095	101777
57	13335	101626
58	13573	101454
59	13802	101220
60	14022	100915
61	14241	100612
62	14462	100320
63	14689	100075
64	14912	99802
65	15144	99584
66	15354	99228
67	15567	98899
68	15787	98617
69	16042	98546
70	16282	98383
71	16502	98096
72	16709	97738
73	16924	97429
74	17136	97106
75	17353	96812
76	17575	96551
77	17790	96250
78	18009	95975
79	18214	95626
80	18431	95343
81	18805	95863
82	19051	95715
83	19282	95496
84	19610	95746
85	19856	95589
86	20072	95288
87	20304	95064
88	20534	94825
89	20760	94573
90	20986	94325
91	21203	94033
92	21449	93869
93	21701	93731
94	21931	93495
95	22140	93175
96	22369	92936
97	22600	92709
98	22816	92417
99	23042	92168
100	23256	91876
101	23478	91613
102	23691	91314
103	23914	91059
104	24159	90886
105	24408	90724
106	24635	90482
107	24870	90269
108	25118	90103
109	25381	89988
110	25670	89961
111	25947	89890
112	26226	89821
113	26479	89659
114	26754	89568
115	27014	89425
116	27259	89235
117	27505	89044
118	27752	88853
119	27986	88623
120	28234	88435
121	28480	88243
122	28725	88044
123	28966	87834
124	29211	87634
125	29458	87441
126	29733	87326
127	29988	87153
128	30231	86945
129	30470	86725
130	30721	86535
131	30975	86356
132	31214	86132
133	31447	85895
134	31680	85655
135	31920	85433
136	32183	85274
137	32443	85106
138	32687	84893
139	32911	84630
140	33145	84392
141	33386	84172
142	33636	83972
143	33864	83721
144	34088	83457
145	34316	83206
146	34565	83004
147	34817	82809
148	35074	82625
149	35309	82388
150	35536	82134
151	35771	81898
152	36013	81678
153	36280	81513
154	36657	81591
155	36893	81354
156	37123	81103
157	37354	80856
158	37594	80627
159	37832	80394
160	38058	80134
161	38287	79884
162	38509	79618
163	38729	79348
164	38961	79102
165	39196	78865
166	39425	78615
167	39656	78368
168	39890	78127
169	40142	77924
170	40388	77707
171	40607	77436
172	40814	77146
173	41027	76866
174	41234	76577
175	41450	76307
176	41664	76031
177	41886	75772
178	42112	75519
179	42335	75262
180	42558	75006
181	42808	74797
182	43046	74567
183	43276	74322
184	43485	74042
185	43705	73782
186	43918	73511
187	44132	73241
188	44357	72990
189	44580	72736
190	44796	72471
191	45004	72194
192	45251	71980
193	45492	71755
194	45723	71516
195	45936	71248
196	46211	71077
197	46460	70864
198	46673	70597
199	46894	70342
200	47107	70075
201	47330	69823
202	47541	69555
203	47761	69300
204	48007	69084
205	48251	68863
206	48491	68638
207	48713	68385
208	48943	68146
209	49165	67895
210	49396	67656
211	49629	67421
212	49848	67166
213	50058	66900
214	50268	66635
215	50533	66442
216	50780	66224
217	51021	66000
218	51231	65735
219	51450	65482
220	51667	65226
221	51882	64970
222	52093	64707
223	52329	64477
224	52566	64247
225	52787	63999
226	53003	63744
227	53246	63521
228	53493	63304
229	53726	63070
230	53943	62817
231	54165	62570
232	54389	62326
233	54617	62086
234	54846	61848
235	55072	61606
236	55287	61352
237	55508	61106
238	55741	60872
239	55997	60664
240	56242	60443
241	56466	60199
242	56687	59953
243	56896	59695
244	57117	59448
245	57340	59205
246	57581	58979
247	57830	58763
248	58075	58541
249	58309	58309
250	58579	58113
251	58879	57945
252	59143	57740
253	59409	57538
254	59671	57331
255	59922	57113
256	60186	56907
257	60470	56720
258	60740	56518
259	61095	56395
260	61399	56224
261	61831	56167
262	62166	56020
263	62421	55800
264	62651	55558
265	62882	55317
266	63132	55093
267	63401	54884
268	63658	54665
269	63945	54472
270	64197	54248
271	64471	54042
272	64767	53854
273	65029	53637
274	65289	53418
275	65563	53211
276	65797	52970
277	66037	52734
278	66275	52497
279	66532	52275
280	66847	52098
281	67118	51885
282	67366	51655
283	67621	51430
284	67878	51206
285	68130	50978
286	68383	50751
287	68638	50525
288	68878	50288
289	69105	50042
290	69341	49802
291	69605	49582
292	69858	49353
293	70076	49101
294	70300	48852
295	70551	48623
296	70779	48377
297	71006	48132
298	71240	47890
299	71467	47644
300	71677	47387
301	71907	47144
302	72149	46909
303	72408	46684
304	72640	46442
305	72862	46193
306	73077	45941
307	73295	45690
308	73502	45433
309	73722	45184
310	73945	44937
311	74162	44687
312	74378	44436
313	74615	44199
314	74867	43969
315	75098	43728
316	75307	43474
317	75525	43225
318	75735	42971
319	75938	42715
